Id,LotFrontage,LotArea,LotShape,LandContour,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice,log_price,Bsmt_magnitude,Remod_diff,MSSubClass_encoded,Neighborhood_encoded,MSZoning_encoded,HouseStyle_encoded,LotConfig_encoded,Condition1_encoded,BldgType_encoded,MoSold_encoded,YrSold_encoded,SaleType_encoded,SaleCondition_encoded,Attchd,Detchd,other_garage,RFn,Unf,Fin,Reg,IR1,other_lots,Gable,Hip,other_roofs
1,65.0,8450,Reg,Lvl,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,196.0,8,6,PConc,8,6,2,10,706,0,0,150,856,GasA,10,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,8,8,Typ,0,Attchd,2003.0,RFn,2,548,6,6,Y,0,61,0,0,0,0,0,208500,12.247694320220994,14.317821063276353,5,12.367219037365144,12.170908828873328,12.122790588337043,12.195885308690835,12.03858282628616,12.07938068505317,12.076290736193817,12.03852729172279,12.058892507914289,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
2,80.0,9600,Reg,Lvl,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,0.0,6,6,CBlock,8,6,8,8,978,0,0,284,1262,GasA,10,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,6,6,Typ,1,Attchd,1976.0,RFn,2,460,6,6,Y,298,0,0,0,0,0,0,181500,12.109010932687042,15.132745950421556,31,12.089473958411261,12.429550291790944,12.122790588337043,12.044707822362533,12.089728672151255,11.867578305258728,12.076290736193817,11.996026721745856,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
3,68.0,11250,IR1,Lvl,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,162.0,8,6,PConc,8,6,4,10,486,0,0,434,920,GasA,10,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,8,6,Typ,1,Attchd,2001.0,RFn,2,608,6,6,Y,0,42,0,0,0,0,0,223500,12.31716669303576,14.730919862656235,6,12.367219037365144,12.170908828873328,12.122790588337043,12.195885308690835,12.03858282628616,12.07938068505317,12.076290736193817,12.154898366543211,12.058892507914289,12.01580906774792,12.028866723037432,1,0,0,1,0,0,0,1,0,1,0,0
4,60.0,9550,IR1,Lvl,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,0.0,6,6,BrkTil,6,8,2,8,216,0,0,540,756,GasA,8,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,8,7,Typ,1,Detchd,1998.0,Unf,3,642,6,6,Y,0,35,272,0,0,0,0,140000,11.84939770159144,13.0,36,11.960115358769507,12.167423136162336,12.122790588337043,12.195885308690835,12.0483455291029,12.07938068505317,12.076290736193817,12.03852729172279,12.055883004723798,12.01580906774792,11.809537935756566,0,1,0,0,1,0,0,1,0,1,0,0
5,84.0,14260,IR1,Lvl,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,350.0,8,6,PConc,8,6,6,10,655,0,0,490,1145,GasA,10,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,8,9,Typ,1,Attchd,2000.0,RFn,3,836,6,6,Y,192,84,0,0,0,0,0,250000,12.429216196844383,15.394804318340652,8,12.367219037365144,12.677306977428007,12.122790588337043,12.195885308690835,12.089728672151255,12.07938068505317,12.076290736193817,12.136763844011679,12.058892507914289,12.01580906774792,12.028866723037432,1,0,0,1,0,0,0,1,0,1,0,0
6,85.0,14115,IR1,Lvl,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,0.0,6,6,Wood,8,6,2,10,732,0,0,64,796,GasA,10,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,6,5,Typ,0,Attchd,1993.0,Unf,2,480,6,6,Y,40,30,0,320,0,0,700,143000,11.870599909242044,14.317821063276353,14,11.831932669447502,11.956185114275996,12.122790588337043,11.828828956657523,12.03858282628616,12.07938068505317,12.076290736193817,12.038127315141127,12.04822541334727,12.01580906774792,12.028866723037432,1,0,0,0,1,0,0,1,0,1,0,0
7,75.0,10084,Reg,Lvl,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,186.0,8,6,PConc,10,6,6,10,1369,0,0,317,1686,GasA,10,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,8,7,Typ,1,Attchd,2004.0,RFn,2,636,6,6,Y,255,57,0,0,0,0,0,307000,12.634603026569334,16.522711641858304,2,12.089473958411261,12.318596663339227,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.07779547308771,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
9,51.0,6120,Reg,Lvl,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,0.0,6,6,BrkTil,6,6,2,0,0,0,0,952,952,GasA,8,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,6,8,Min1,2,Detchd,1931.0,Unf,2,468,4,6,Y,90,0,205,0,0,0,0,129900,11.77452020265869,8.717797887081348,58,11.831932669447502,11.739992352169574,11.730064516463871,11.828828956657523,12.03858282628616,11.763515826644689,12.076290736193817,12.015857173771163,12.058892507914289,12.01580906774792,11.809537935756566,0,1,0,0,1,0,1,0,0,1,0,0
10,50.0,7420,Reg,Lvl,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,0.0,6,6,BrkTil,6,6,2,10,851,0,0,140,991,GasA,10,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,6,5,Typ,2,Attchd,1939.0,RFn,1,205,8,6,Y,0,4,0,0,0,0,0,118000,11.678439903447801,13.30413469565007,58,11.729185964866886,11.777799561019519,12.122790588337043,11.610506834566412,12.0483455291029,11.763515826644689,11.714744405230311,12.044744404451235,12.058892507914289,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
11,70.0,11200,Reg,Lvl,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,6,6,CBlock,6,6,2,4,906,0,0,134,1040,GasA,10,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,6,5,Typ,0,Detchd,1965.0,Unf,1,384,6,6,Y,0,0,0,0,0,0,0,129500,11.771436160121729,9.643650760992955,43,12.089473958411261,11.820504356412277,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.03852729172279,12.058892507914289,12.01580906774792,12.028866723037432,0,1,0,0,1,0,1,0,0,0,1,0
